,11111 -> 00001,01111 -> 00011
00000,00000,00000
00001,11111,11111
00010,00010,01000
00011,11101,10111
00100,00100,10000
00101,11011,01111
00110,00110,11000
00111,11001,00111
01000,01000,00100
01001,10111,11011
01010,01010,01100
01011,10101,10011
01100,01100,10100
01101,10011,01011
01110,01110,11100
01111,10001,00011
10000,10000,00010
10001,01111,11101
10010,10010,01010
10011,01101,10101
10100,10100,10010
10101,01011,01101
10110,10110,11010
10111,01001,00101
11000,11000,00110
11001,00111,11001
11010,11010,01110
11011,00101,10001
11100,11100,10110
11101,00011,01001
11110,11110,11110
11111,00001,00001
