,1111 -> 0011,1111 -> 0001,0011 -> 0001
0000,0000,0000,0000
0001,0202,2121,0202
0002,0101,1212,0101
0010,0102,1221,0102
0011,0001,0012,0001
0012,0200,2100,0200
0020,0201,2112,0201
0021,0100,1200,0100
0022,0002,0021,0002
0100,1020,1111,2010
0101,1222,0202,2212
0102,1121,2020,2111
0110,1122,2002,2112
0111,1021,1120,2011
0112,1220,0211,2210
0120,1221,0220,2211
0121,1120,2011,2110
0122,1022,1102,2012
0200,2010,2222,1020
0201,2212,1010,1222
0202,2111,0101,1121
0210,2112,0110,1122
0211,2011,2201,1021
0212,2210,1022,1220
0220,2211,1001,1221
0221,2110,0122,1120
0222,2012,2210,1022
1000,2020,2211,1010
1001,2222,1002,1212
1002,2121,0120,1111
1010,2122,0102,1112
1011,2021,2220,1011
1012,2220,1011,1210
1020,2221,1020,1211
1021,2120,0111,1110
1022,2022,2202,1012
1100,0010,0022,0020
1101,0212,2110,0222
1102,0111,1201,0121
1110,0112,1210,0122
1111,0011,0001,0021
1112,0210,2122,0220
1120,0211,2101,0221
1121,0110,1222,0120
1122,0012,0010,0022
1200,1000,1100,2000
1201,1202,0221,2202
1202,1101,2012,2101
1210,1102,2021,2102
1211,1001,1112,2001
1212,1200,0200,2200
1220,1201,0212,2201
1221,1100,2000,2100
1222,1002,1121,2002
2000,1010,1122,2020
2001,1212,0210,2222
2002,1111,2001,2121
2010,1112,2010,2122
2011,1011,1101,2021
2012,1210,0222,2220
2020,1211,0201,2221
2021,1110,2022,2120
2022,1012,1110,2022
2100,2000,2200,1000
2101,2202,1021,1202
2102,2101,0112,1101
2110,2102,0121,1102
2111,2001,2212,1001
2112,2200,1000,1200
2120,2201,1012,1201
2121,2100,0100,1100
2122,2002,2221,1002
2200,0020,0011,0010
2201,0222,2102,0212
2202,0121,1220,0111
2210,0122,1202,0112
2211,0021,0020,0011
2212,0220,2111,0210
2220,0221,2120,0211
2221,0120,1211,0110
2222,0022,0002,0012
