,111 -> 001
000,000
001,300
002,213
003,113
010,010
011,310
012,203
013,103
020,333
021,033
022,120
023,220
030,323
031,023
032,130
033,230
100,311
101,011
102,102
103,202
110,301
111,001
112,112
113,212
120,022
121,322
122,231
123,131
130,032
131,332
132,221
133,121
200,003
201,303
202,210
203,110
210,013
211,313
212,200
213,100
220,330
221,030
222,123
223,223
230,320
231,020
232,133
233,233
300,312
301,012
302,101
303,201
310,302
311,002
312,111
313,211
320,021
321,321
322,232
323,132
330,031
331,331
332,222
333,122
